venue_i,venue_j,lag,ll_real,ll_placebo,ll_gap,kl_divergence,lrs_real,lrs_placebo,lrs_delta,fdr_rejected
BINANCE,BITGET,20,-1079.478578263165,-1150.5501835879656,166.20717034993658,0.12913283328891062,0.5316573139179469,0.32691931064352425,0.2014454889745413,False
BINANCE,BITGET,25,-830.4929220138052,-1128.4262089897256,207.17462693955707,0.16990298381934332,0.35189345986176024,0.43553892117467374,0.23906873098787682,True
BINANCE,BITGET,30,-978.7367141615723,-1087.3002727626058,112.09348602725642,0.20746999004263703,0.4291079207586421,0.2793361204231501,0.297408629766638,True
COINBASE,BINANCE,5,-880.3155206891274,-1263.8741863631055,159.2622689990753,0.10460318925733642,0.5627266898159771,0.42071501225267094,0.24100399884778517,False
COINBASE,BINANCE,10,-1082.9478873454207,-1323.0998489725553,226.58125170097782,0.07328472673388489,0.5331587888175142,0.3399838287781429,0.2179244756423827,False
COINBASE,BINANCE,15,-916.766355502875,-1242.000678506974,232.24427952575903,0.21116220669985505,0.49292207221055717,0.2904009108077133,0.16461581379809556,True
COINBASE,BINANCE,20,-1055.672233828455,-1408.8215997638288,240.5685000955822,0.12229995474035245,0.5778054609361263,0.16304260928481312,0.2270133567008857,False
COINBASE,BINANCE,25,-854.2217233159938,-1217.804172947254,248.94531854973127,0.17462564083090498,0.5401114042548936,0.39488367681195874,0.24305234862780978,False
COINBASE,BINANCE,30,-1011.7329895571008,-1265.2739647987735,175.49191934485953,0.1798753716420861,0.4008017559821879,0.31696961886825503,0.18049406997603562,True
COINBASE,BYBITSPOT,5,-1024.8628741351201,-1165.2598886032374,140.71500194684228,0.23374345471922814,0.6004323694624338,0.4101319440787784,0.18678886966476976,False
COINBASE,BYBITSPOT,10,-1143.1895155513344,-1038.1322319278024,229.9451295588577,0.15942098102355087,0.43202219197341846,0.3381086079840058,0.17298675090463794,False
COINBASE,BYBITSPOT,15,-985.3103050083398,-1081.8905055857135,195.61904413627946,0.09928628632262394,0.5718827319316163,0.25164916407372107,0.2230659370664574,True
COINBASE,BYBITSPOT,20,-1012.1457489006349,-1181.7978621642008,199.05937902354157,0.19549489595812813,0.7324427359179145,0.5556327950997616,0.23659399785777244,False
COINBASE,BYBITSPOT,25,-925.4621720644033,-1210.9971529527927,263.18496983681433,0.18538743938989374,0.41360667176325216,0.21721892746044374,0.2731641641887,True
COINBASE,BYBITSPOT,30,-977.2747370337522,-1411.37138679988,255.79778183603221,0.13051584652208537,0.3599381862672565,0.2656338931900325,0.1972714439223261,False
COINBASE,BITGET,5,-979.9835923392352,-1144.7982803726436,112.80210844575285,0.1534293435721822,0.4558505783333484,0.3517509110452056,0.24667432322744742,False
COINBASE,BITGET,10,-955.2639312142434,-1260.4992557942614,216.82225492731672,0.21298692626694188,0.46064133521151895,0.4602433234686747,0.28284106549370414,True
COINBASE,BITGET,15,-1010.1423351717644,-1078.453945546308,216.762152489114,0.13721401819740722,0.6157641194037543,0.47137773969906405,0.2586162365268716,False
COINBASE,BITGET,20,-967.1023391959685,-1241.268979798501,233.046331860735,0.1627660014976456,0.39031401579177655,0.30828367826365577,0.1096698731441165,False
COINBASE,BITGET,25,-1079.6442128710187,-1088.5560812320196,156.28040265985018,0.1408870579576591,0.6606275790435719,0.2508844197094394,0.17630693541211923,True
COINBASE,BITGET,30,-959.9058074169253,-1309.989453215486,164.62725384258425,0.11058539521311234,0.501687656344348,0.44634714072051374,0.1927604610257402,True
BYBITSPOT,BINANCE,5,-1011.2726662749742,-1033.8237605145762,248.9075890806889,0.19283931956013103,0.4658257149355717,0.4035054080508089,0.18351631969976503,False
BYBITSPOT,BINANCE,10,-766.3096894577707,-1277.4396618590836,164.33999991305086,0.18776209189758775,0.5756719383219399,0.38404883078383056,0.12359777767403078,False
BYBITSPOT,BINANCE,15,-1033.4815534359664,-1099.0421710540656,123.89655745737751,0.10590332827988456,0.4412526060231025,0.36495781413248524,0.19371664361366114,False
BYBITSPOT,BINANCE,20,-713.1973708205855,-961.0157974833237,110.27861339231917,0.19912657246113966,0.47825762117347276,0.39148105380459886,0.1737331550203054,False
BYBITSPOT,BINANCE,25,-934.22323179703,-1082.568367525308,267.5828059045404,0.13640857520017657,0.5012809469800946,0.3693715541981621,0.10997713264994174,False
BYBITSPOT,BINANCE,30,-996.6038704017213,-1179.231868617165,220.07472882790665,0.12809144054447896,0.45233490665744513,0.3728686980416126,0.28732606828303164,False
BYBITSPOT,COINBASE,5,-859.9569106942931,-1260.3812219140045,203.2527110560412,0.06377656237512895,0.6311755274643931,0.19818458149918872,0.2387086270495944,False
BYBITSPOT,COINBASE,10,-1039.6041589693614,-1356.3891243601952,222.36067426672724,0.1322055350054143,0.41179901126959284,0.3234188484640412,0.20850331644263476,False
BYBITSPOT,COINBASE,15,-932.4520640201007,-1003.2782443254179,198.67686551810522,0.23805280672299325,0.4373427543317649,0.11976090587069776,0.20664923924136375,False
BYBITSPOT,COINBASE,20,-917.7694447291103,-1088.3292967017005,188.86659277576888,0.148017828934022,0.4929833745709295,0.25681731139832886,0.1561198530819263,False
BYBITSPOT,COINBASE,25,-816.5015850400132,-1040.90274175825,151.975502229528,0.1532932254885282,0.47741154294567056,0.3786384926896549,0.17467106567735435,True
BYBITSPOT,COINBASE,30,-923.2273520531793,-1190.6847003331643,148.17298868070134,0.1895646295177059,0.7805211021006937,0.33696212626911687,0.20799256457149828,False
BYBITSPOT,BITGET,5,-917.1199391440239,-1280.509648541506,167.10776012908053,0.2458882387112955,0.44650439679961396,0.37732266465229625,0.10898450667351399,False
BYBITSPOT,BITGET,10,-1067.986814258953,-1305.0365763450336,196.06005549581494,0.17155244499321912,0.49641757196778213,0.15911061321915435,0.07771719632731569,True
BYBITSPOT,BITGET,15,-1105.046422801778,-1199.3530693935697,197.06633599489788,0.20498184468512032,0.6263251609715528,0.20723310108486792,0.22461269574790543,False
BYBITSPOT,BITGET,20,-1093.8403102363638,-1242.8072053123242,207.13919872756495,0.11769674718851994,0.586933072827559,0.3169459282116032,0.2439349856682065,True
BYBITSPOT,BITGET,25,-1129.7705691802137,-1255.7760908107564,186.21258555412643,0.051713946390621296,0.5450023967068293,0.2561633483376009,0.29226649234477337,True
BYBITSPOT,BITGET,30,-931.6843005687065,-1367.193151433278,230.67917558518292,0.12658092507178037,0.4561971459358261,0.3724071031751473,0.135876674649878,False
BITGET,BINANCE,5,-1058.719100214536,-1115.3630435092268,269.84230246618944,0.1636544120396294,0.41861394629658,0.4325747489555725,0.1252690631277995,False
BITGET,BINANCE,10,-1140.0480520610176,-1090.3118051749734,184.45662876768571,0.20610440910353245,0.5716654595697991,0.35754893936873344,0.2660948143345196,False
BITGET,BINANCE,15,-1016.0100865071296,-1072.014449294016,197.55368587573534,0.11237279233710376,0.5084255698185386,0.305468382894097,0.19220098924323814,True
BITGET,BINANCE,20,-1038.9631287644984,-1162.96882132054,276.54667153290535,0.11851100514436834,0.6735278162123435,0.38351301665215765,0.18308506954858442,False
BITGET,BINANCE,25,-872.0109110637208,-1368.7904389300181,88.94144653541478,0.17942663135355308,0.4829404730906888,0.3366169040557821,0.21392619996685497,False
BITGET,BINANCE,30,-897.8001794542174,-1038.6986649656792,170.48093602582657,0.077203646712339,0.40660021508315247,0.32721288364081297,0.24047996876502192,True
BITGET,COINBASE,5,-1232.115607993721,-1171.4485699624033,176.73051659329835,0.16205365553981804,0.531816460722125,0.4210732841718753,0.2190972342036241,False
BITGET,COINBASE,10,-845.5397700676432,-1056.4650890526646,131.1660109671423,0.13398918873589544,0.5632850305207318,0.24154701511104998,0.16719894623646867,False
BITGET,COINBASE,15,-1092.164987340433,-1229.5978344047312,208.48959482903112,0.1313737139432611,0.3500677187767669,0.22852704449919214,0.209203689495884,False
BITGET,COINBASE,20,-992.1094688230039,-1173.4524704448274,172.99193759304174,0.21179787786098894,0.5690443462468333,0.35160647806617806,0.14763816073469652,False
BITGET,COINBASE,25,-1084.333624725849,-1182.9253501285013,205.05175439694537,0.09454211024572035,0.40142819174754146,0.3976471314577208,0.11544312555315389,False
BITGET,COINBASE,30,-1021.7094036485589,-1247.78825866849,182.16651787538663,0.16801730552642305,0.5251691592223157,0.27467825978218025,0.21687012245429227,True
BITGET,BYBITSPOT,5,-931.2231261573392,-1203.8055160853094,212.22206890203384,0.07392580003912383,0.48209310526727295,0.4528783445031484,0.18955189792520505,False
BITGET,BYBITSPOT,10,-1007.3070007039433,-1262.6928942476466,199.28962105989865,0.26228222927933637,0.39529533536458084,0.21090718037669462,0.18912171169558945,False
BITGET,BYBITSPOT,15,-1065.9573605376677,-1155.421063827378,134.65277416515877,0.24649863629856578,0.5260109409150547,0.3828493468597982,0.25236355662231785,True
BITGET,BYBITSPOT,20,-957.4272776511076,-1082.7312346438496,234.83929426280986,0.06657478340269682,0.4687833526058567,0.23266561417959863,0.23259071834624453,False
BITGET,BYBITSPOT,25,-1073.1171383565813,-1365.89444444892,233.35107636880218,0.15306489186957703,0.3994582572793507,0.39177740715699405,0.23673426028190359,False
BITGET,BYBITSPOT,30,-963.1797038393893,-1304.3636429959336,290.14097918895925,0.1339776780788891,0.5788002817439768,0.2894469696273981,0.15302887019153866,False
