event_id,venue,round_level,burst_size,delta_beta,delta_tsi
57,COINBASE,111000.0,48,-0.0016029093596247872,-0.04043130100536944
58,COINBASE,111500.0,48,-0.0010791957648664415,0.12930487519263165
59,COINBASE,111801.86,48,0.0016598403425139064,0.05333333873650521
60,COINBASE,112000.0,48,-0.0007500500347007051,0.04592187594955757
61,COINBASE,112500.0,48,0.0011139895238285358,-0.003956437755789871
62,BYBITSPOT,111000.0,48,-0.0011126217489717887,-0.07754612571762688
63,BYBITSPOT,111500.0,48,-0.0001929442039777215,0.12098597150935163
64,BYBITSPOT,111776.0,48,0.0011394440511308722,-0.11948304680599896
65,BYBITSPOT,112000.0,48,0.0011649095338173924,-0.14016332142796173
66,BYBITSPOT,112500.0,48,-0.0005267397618754828,-0.046845612554053416
67,BITGET,111000.0,48,-0.0010465749048132146,0.2819393306201424
68,BITGET,111500.0,48,-0.0005481603309992948,-0.11633726644118376
69,BITGET,111771.43,48,-0.0008387210446595709,0.10372751587979319
70,BITGET,112000.0,48,0.0009051969112823138,0.12433254480544183
71,BITGET,112500.0,48,0.0014096078002031904,-0.04400229193050223
72,BINANCE,109500.0,48,-0.0012260964536391712,-0.08891522283088996
73,BINANCE,110000.0,45,0.00041579088752984484,0.17139711763175294
74,BINANCE,110500.0,47,0.0005823508734890504,0.054867758820227465
75,BINANCE,110528.71,48,0.0012486630427101853,0.006024878156541985
76,BINANCE,111000.0,46,-0.00013427390968451258,-0.06321534858465962
77,BINANCE,111500.0,43,-0.0021980712334728654,0.0428777369975125
78,BINANCE,112000.0,48,0.0005648407519649191,-0.044021269457605594
79,COINBASE,109500.0,48,0.0004313400516830047,-0.014271414302159316
80,COINBASE,110000.0,45,0.0014010984445667314,0.0033911930481214797
81,COINBASE,110500.0,47,1.2546069008382277e-05,0.036229625152282494
82,COINBASE,110533.77,47,0.0006630798840885933,-0.15241973310571305
83,COINBASE,111000.0,46,0.0001768642868045476,0.12843916396444266
84,COINBASE,111500.0,38,0.00028736227979148386,-0.0642690449749476
85,COINBASE,112000.0,48,0.000365468394828263,-0.06536363379387743
86,BYBITSPOT,109500.0,48,0.0005180257569090605,-0.013380003564509378
87,BYBITSPOT,110000.0,45,-0.0013216121077677667,0.10124793727081594
88,BYBITSPOT,110500.0,48,-0.00028822439616312006,0.09444199229896748
89,BYBITSPOT,110540.7,48,0.0021332566451270074,-0.008777387595996037
90,BYBITSPOT,111000.0,46,0.0011588212546113036,-0.010229104201488691
91,BYBITSPOT,111500.0,43,0.0020905647208156217,0.1608650514175468
92,BYBITSPOT,112000.0,48,0.0020668988274766815,-0.05065629265643408
93,BITGET,109500.0,48,0.0004821653177653588,0.040498142081308794
94,BITGET,110000.0,45,-0.00023890393771183713,0.03241386979389078
95,BITGET,110500.0,47,-0.00042612531902765495,-0.0912149979438176
96,BITGET,110519.26,48,-0.0009026641174544271,-0.27148049503705923
97,BITGET,111000.0,46,-0.000138784016185239,-0.007531367133921278
98,BITGET,111500.0,43,0.0002264058084529466,0.13681601848397185
99,BITGET,112000.0,48,0.0020777027321134886,-0.11455568376250524
100,BINANCE,110500.0,46,0.00037198861179722656,0.06617317148920875
101,BINANCE,111000.0,42,-0.0005343309014779133,0.045362466587431136
102,BINANCE,111500.0,46,-0.0009056607769048261,-0.04803544693072771
103,BINANCE,112000.0,48,0.0012844590639636794,0.0005425358978743601
104,BINANCE,112180.0,47,0.0005187269779514985,0.10363800908216945
105,BINANCE,112500.0,48,0.0012388932134096053,0.07681595281378521
106,BINANCE,113000.0,35,0.00035612563024252803,0.14208975576173605
107,COINBASE,110500.0,46,-0.0009976837939724243,-0.005965989847697107
108,COINBASE,111000.0,46,0.0016945315702663049,0.1568729963787942
109,COINBASE,111500.0,46,0.0005020479650754858,-0.0689525434184831
110,COINBASE,112000.0,48,-0.00020124191297491795,0.0729360589999558
111,COINBASE,112235.6,48,0.0011858343091541268,0.06653483765910188
112,COINBASE,112500.0,48,0.002087292763218818,-0.08475599091336675
113,COINBASE,113000.0,47,0.00016775238649868558,0.23994649676964458
114,BYBITSPOT,110500.0,46,0.0011846453548391474,0.18936059251879375
115,BYBITSPOT,111000.0,47,-0.0011741619451450778,-0.07451313998779434
116,BYBITSPOT,111500.0,46,0.0008211179187859551,-0.10829251858979533
117,BYBITSPOT,112000.0,48,-0.00018022544248362212,0.05323180864504767
118,BYBITSPOT,112183.3,47,-0.0007454046428713916,0.03369628956073653
119,BYBITSPOT,112500.0,48,8.98345531131715e-05,0.056183632850823444
120,BYBITSPOT,113000.0,24,0.0014227873805462352,0.1864985737784359
121,BITGET,110500.0,46,0.001263972936228911,-0.04781992409949811
122,BITGET,111000.0,47,0.0017819239414413053,0.011150108495639726
123,BITGET,111500.0,46,0.0007817941638586897,-0.009464828998778953
124,BITGET,112000.0,48,0.00014360473042975225,0.06992337283389438
125,BITGET,112185.01,47,-0.00027464470880902053,0.025912790915440704
126,BITGET,112500.0,48,-0.0011773337510619188,-0.01868291156514742
127,BITGET,113000.0,24,0.0002783751682146962,-0.07466835964474226
128,BINANCE,110000.0,47,0.0007810440651676504,0.048383148314893105
129,BINANCE,110206.96,47,-0.0003201399073258616,-0.005319135680342255
130,BINANCE,110500.0,44,0.0021642559747059266,-0.052255095049654345
131,BINANCE,111000.0,41,-0.0013151510835976792,-0.22822895813462518
132,COINBASE,110000.0,47,-6.47210551821508e-05,-0.09308459605808199
133,COINBASE,110202.36,47,0.0014400902570921817,0.15102117651357683
134,COINBASE,110500.0,44,0.0007059546167254672,-0.09588183405373268
135,COINBASE,111000.0,41,0.00013227773318650696,-0.05176473810960433
136,BYBITSPOT,110000.0,47,0.0017539369350079834,0.06161269352580467
137,BYBITSPOT,110205.7,47,-0.0006232487174120004,-0.10188485748281789
138,BYBITSPOT,110500.0,44,0.00036157772740488575,-0.14226446887427285
139,BYBITSPOT,111000.0,41,0.001375061064003619,-0.04887024919600566
140,BITGET,110000.0,47,-5.8489259378908246e-05,-0.1934978435037341
141,BITGET,110217.47,47,-0.0010733542507036476,0.2986181009978231
142,BITGET,110500.0,44,-0.0010529742653688215,-0.015037386469025922
143,BITGET,111000.0,41,0.0008799014015240821,-0.1109170743621208
144,BINANCE,110500.0,40,0.0006731575826210008,-0.16772425271266514
145,BINANCE,111000.0,46,0.00012956787571811936,0.0076755488558002925
146,BINANCE,111307.7,43,-0.0023383552461887416,0.20152503635343066
147,BINANCE,111500.0,23,-0.001668324586435738,0.0008159800106374384
148,COINBASE,110500.0,41,2.398823051544532e-06,0.12765132824050957
149,COINBASE,111000.0,46,1.3576936651917614e-05,0.027259304617019225
150,COINBASE,111317.65,45,-0.0003897133315320034,-0.11632315165903227
151,COINBASE,111500.0,23,0.00036571130549287043,0.02633865532492551
152,BYBITSPOT,110500.0,41,0.0003675339497420664,-0.06685725499727227
153,BYBITSPOT,111000.0,46,0.0007828469704880548,0.1186906805833389
154,BYBITSPOT,111310.7,45,-0.001418280137058321,0.07991657751226726
155,BYBITSPOT,111500.0,23,-0.0030537849988423174,0.020672227457872866
156,BITGET,110500.0,40,-0.00027386957721051657,0.007866360859920981
157,BITGET,111000.0,46,-0.0006076749597859452,-0.03968893792386488
158,BITGET,111315.05,45,0.0010234026464989831,-0.15657703310758475
159,BITGET,111500.0,23,-0.0012658847329070858,-0.03190565734326739
