edge,freq,lag,lag_s,coef,se,t,p_raw,n_obs,p_fdr,rejected,decision
BYBITSPOT->BINANCE,5s,5,25,-0.0028554364719148855,0.0012637715306068019,-2.2594562409107626,0.0238678547040021,16700,0.03768608637474016,True,REJECT
BYBITSPOT->BINANCE,5s,10,50,-0.004102865428490192,0.0012633186160205113,-3.2476885691863955,0.0011657632939572338,16695,0.0025905850976827415,True,REJECT
BYBITSPOT->COINBASE,5s,1,5,0.043780690430931746,0.0013345138301053586,32.80647187258846,0.0,16704,0.0,True,REJECT
BYBITSPOT->COINBASE,5s,2,10,0.007059203898144423,0.0013752818905318793,5.132914165992786,2.884909460210139e-07,16703,1.018203338897696e-06,True,REJECT
BYBITSPOT->COINBASE,5s,3,15,0.0017441240194999057,0.0013763338948927163,1.2672244910715202,0.20509270271652547,16702,0.25113392169370463,False,REJECT
BYBITSPOT->COINBASE,5s,5,25,-0.0010448343685561697,0.0013764996019309868,-0.7590517041127006,0.44783234315306375,16700,0.47140246647690925,False,REJECT
BYBITSPOT->COINBASE,5s,10,50,0.0003916722657314087,0.0013764658075708493,0.28454921551783524,0.775993053314082,16695,0.8027514344628434,False,REJECT
BYBITSPOT->BITGET,5s,1,5,0.00572020393322979,0.001289097939488722,4.437369541912789,9.164751543000449e-06,16704,2.6185004408572714e-05,True,REJECT
BYBITSPOT->BITGET,5s,2,10,-0.0020285230760591546,0.0012897793823688087,-1.5727674855009461,0.11579161085667677,16703,0.15438881447556904,False,REJECT
BYBITSPOT->BITGET,5s,3,15,-0.001117363958795279,0.0012897782873440085,-0.866322506557483,0.386325774032398,16702,0.41636989458148177,False,REJECT
BYBITSPOT->BITGET,5s,5,25,-0.004093163056425248,0.0012892352737204327,-3.1748767194472833,0.0015017239060133303,16700,0.0032179797985999936,True,REJECT
BYBITSPOT->BITGET,5s,10,50,-0.003946058163765748,0.0012890403101031612,-3.0612372109992023,0.0022077462422298577,16695,0.004415492484459715,True,REJECT
BITGET->BINANCE,5s,1,5,0.0023677066201076664,0.0013643881100027504,1.7353615168215542,0.08269523770729093,16704,0.11276623323721491,False,REJECT
BITGET->BINANCE,5s,2,10,-0.0018837809385810593,0.0013644586652747043,-1.3806068197762522,0.16741836247399777,16703,0.2183717771399971,False,REJECT
BITGET->BINANCE,5s,3,15,-0.004475128543596468,0.001364049278169848,-3.2807675024767224,0.0010373722738976632,16702,0.002393936016686915,True,REJECT
BITGET->BINANCE,5s,5,25,0.0012819852305340734,0.0013645767531423718,0.9394746228688822,0.3475007056842203,16700,0.398992211957694,False,REJECT
BITGET->BINANCE,5s,10,50,-0.00033099786594228725,0.0013646280653777636,-0.24255537046327613,0.8083528381045193,16695,0.8220537336656129,False,REJECT
BITGET->COINBASE,5s,1,5,0.051775077524451846,0.0015412117060420102,33.59374790723304,0.0,16704,0.0,True,REJECT
BITGET->COINBASE,5s,2,10,0.012044691551953236,0.0015890702922042792,7.579709727783936,3.6415315207705135e-14,16703,1.8207657603852567e-13,True,REJECT
BITGET->COINBASE,5s,3,15,0.0028118406512385105,0.001591565356402218,1.7667139083717944,0.07729441758343425,16702,0.10785267569781523,False,REJECT
BITGET->COINBASE,5s,5,25,0.0030532024452121047,0.001591548271274941,1.9183850721450484,0.055079235981204455,16700,0.08060375997249432,False,REJECT
BITGET->COINBASE,5s,10,50,0.0031603047222407456,0.0015918384466015877,1.985317498134106,0.04712549602253113,16695,0.0706882440337967,False,REJECT
BITGET->BYBITSPOT,5s,1,5,0.017130883938301682,0.0012949812609038907,13.228673229097081,0.0,16704,0.0,True,REJECT
BITGET->BYBITSPOT,5s,2,10,0.006053169224363706,0.0013007924817298353,4.653447271092779,3.2893813042278452e-06,16703,1.0387519908087933e-05,True,REJECT
BITGET->BYBITSPOT,5s,3,15,0.001210278845788195,0.0013015334740573738,0.9298868372668869,0.3524431205626297,16702,0.398992211957694,False,REJECT
BITGET->BYBITSPOT,5s,5,25,0.0047008438632517285,0.001300911846048589,3.613499160246829,0.0003029797316775884,16700,0.0007271513560262122,True,REJECT
BITGET->BYBITSPOT,5s,10,50,0.0036698729782114253,0.0013009351167083984,2.8209500466840107,0.004793816300508125,16695,0.00821797080087107,True,REJECT
