venue,date,pair,lag,beta_pre,beta_post,delta,p_delta,n_pre,n_post
COINBASE,20250901,BINANCE->COINBASE,2,0.046660464368785085,0.0009600746211650284,-0.04570038974762006,,358,358
COINBASE,20250901,BINANCE->BYBITSPOT,0,0.053486575149147675,-0.09106783388404302,-0.1445544090331907,,354,357
COINBASE,20250901,BINANCE->BYBITSPOT,1,0.023475498711228962,-0.02610248838283043,-0.04957798709405939,,353,356
COINBASE,20250901,BINANCE->BYBITSPOT,2,0.02104781975379373,0.0009195886825214035,-0.020128231071272328,,352,355
COINBASE,20250901,BINANCE->BITGET,0,-0.056611035392794294,0.0284067538975203,0.08501778929031459,,353,360
COINBASE,20250901,BINANCE->BITGET,1,-0.038717631817788055,-0.010299888638624433,0.028417743179163624,,352,359
COINBASE,20250901,BINANCE->BITGET,2,-0.08382618395139625,-0.06875704518466252,0.015069138766733728,,351,358
COINBASE,20250901,COINBASE->BYBITSPOT,0,0.03853305232917098,-0.07978333311212683,-0.11831638544129781,,354,357
COINBASE,20250901,COINBASE->BYBITSPOT,1,0.04091463106800402,-0.05362489075639906,-0.09453952182440309,,353,356
COINBASE,20250901,COINBASE->BYBITSPOT,2,0.009173847489841805,0.008281033227338658,-0.0008928142625031464,,352,355
COINBASE,20250901,COINBASE->BITGET,0,-0.06986548907098003,0.02265566475736891,0.09252115382834894,,353,360
COINBASE,20250901,COINBASE->BITGET,1,-0.06029222619740906,-0.026865998924858674,0.03342622727255039,,352,359
COINBASE,20250901,COINBASE->BITGET,2,-0.0806697225996372,-0.07014109197851703,0.010528630621120166,,351,358
COINBASE,20250901,BYBITSPOT->BITGET,0,0.03415906850335071,-0.08849974991038909,-0.1226588184137398,,343,354
COINBASE,20250901,BYBITSPOT->BITGET,1,0.07022981031725005,-0.035513059163001105,-0.10574286948025116,,342,353
COINBASE,20250901,BYBITSPOT->BITGET,2,-0.08132323627444919,-0.014711711485534334,0.06661152478891486,,341,352
BYBITSPOT,20250901,BINANCE->COINBASE,0,0.8825564786681983,0.8725101928537644,-0.010046285814433897,,360,360
BYBITSPOT,20250901,BINANCE->COINBASE,1,0.15974639872147714,0.23725168516078296,0.07750528643930582,,359,359
BYBITSPOT,20250901,BINANCE->COINBASE,2,0.046660464368785085,0.0009600746211650284,-0.04570038974762006,,358,358
BYBITSPOT,20250901,BINANCE->BYBITSPOT,0,0.053486575149147675,-0.09106783388404302,-0.1445544090331907,,354,357
BYBITSPOT,20250901,BINANCE->BYBITSPOT,1,0.023475498711228962,-0.02610248838283043,-0.04957798709405939,,353,356
BYBITSPOT,20250901,BINANCE->BYBITSPOT,2,0.02104781975379373,0.0009195886825214035,-0.020128231071272328,,352,355
BYBITSPOT,20250901,BINANCE->BITGET,0,-0.056611035392794294,0.0284067538975203,0.08501778929031459,,353,360
BYBITSPOT,20250901,BINANCE->BITGET,1,-0.038717631817788055,-0.010299888638624433,0.028417743179163624,,352,359
BYBITSPOT,20250901,BINANCE->BITGET,2,-0.08382618395139625,-0.06875704518466252,0.015069138766733728,,351,358
BYBITSPOT,20250901,COINBASE->BYBITSPOT,0,0.03853305232917098,-0.07978333311212683,-0.11831638544129781,,354,357
BYBITSPOT,20250901,COINBASE->BYBITSPOT,1,0.04091463106800402,-0.05362489075639906,-0.09453952182440309,,353,356
BYBITSPOT,20250901,COINBASE->BYBITSPOT,2,0.009173847489841805,0.008281033227338658,-0.0008928142625031464,,352,355
BYBITSPOT,20250901,COINBASE->BITGET,0,-0.06986548907098003,0.02265566475736891,0.09252115382834894,,353,360
BYBITSPOT,20250901,COINBASE->BITGET,1,-0.06029222619740906,-0.026865998924858674,0.03342622727255039,,352,359
BYBITSPOT,20250901,COINBASE->BITGET,2,-0.0806697225996372,-0.07014109197851703,0.010528630621120166,,351,358
BYBITSPOT,20250901,BYBITSPOT->BITGET,0,0.03415906850335071,-0.08849974991038909,-0.1226588184137398,,343,354
BYBITSPOT,20250901,BYBITSPOT->BITGET,1,0.07022981031725005,-0.035513059163001105,-0.10574286948025116,,342,353
BYBITSPOT,20250901,BYBITSPOT->BITGET,2,-0.08132323627444919,-0.014711711485534334,0.06661152478891486,,341,352
BITGET,20250901,BINANCE->COINBASE,0,0.8825564786681983,0.8725101928537644,-0.010046285814433897,,360,360
BITGET,20250901,BINANCE->COINBASE,1,0.15974639872147714,0.23725168516078296,0.07750528643930582,,359,359
BITGET,20250901,BINANCE->COINBASE,2,0.046660464368785085,0.0009600746211650284,-0.04570038974762006,,358,358
BITGET,20250901,BINANCE->BYBITSPOT,0,0.053486575149147675,-0.09106783388404302,-0.1445544090331907,,354,357
BITGET,20250901,BINANCE->BYBITSPOT,1,0.023475498711228962,-0.02610248838283043,-0.04957798709405939,,353,356
BITGET,20250901,BINANCE->BYBITSPOT,2,0.02104781975379373,0.0009195886825214035,-0.020128231071272328,,352,355
BITGET,20250901,BINANCE->BITGET,0,-0.056611035392794294,0.0284067538975203,0.08501778929031459,,353,360
BITGET,20250901,BINANCE->BITGET,1,-0.038717631817788055,-0.010299888638624433,0.028417743179163624,,352,359
BITGET,20250901,BINANCE->BITGET,2,-0.08382618395139625,-0.06875704518466252,0.015069138766733728,,351,358
BITGET,20250901,COINBASE->BYBITSPOT,0,0.03853305232917098,-0.07978333311212683,-0.11831638544129781,,354,357
BITGET,20250901,COINBASE->BYBITSPOT,1,0.04091463106800402,-0.05362489075639906,-0.09453952182440309,,353,356
BITGET,20250901,COINBASE->BYBITSPOT,2,0.009173847489841805,0.008281033227338658,-0.0008928142625031464,,352,355
BITGET,20250901,COINBASE->BITGET,0,-0.06986548907098003,0.02265566475736891,0.09252115382834894,,353,360
BITGET,20250901,COINBASE->BITGET,1,-0.06029222619740906,-0.026865998924858674,0.03342622727255039,,352,359
BITGET,20250901,COINBASE->BITGET,2,-0.0806697225996372,-0.07014109197851703,0.010528630621120166,,351,358
BITGET,20250901,BYBITSPOT->BITGET,0,0.03415906850335071,-0.08849974991038909,-0.1226588184137398,,343,354
BITGET,20250901,BYBITSPOT->BITGET,1,0.07022981031725005,-0.035513059163001105,-0.10574286948025116,,342,353
BITGET,20250901,BYBITSPOT->BITGET,2,-0.08132323627444919,-0.014711711485534334,0.06661152478891486,,341,352
BINANCE,20250902,BINANCE->COINBASE,0,0.7812954075808398,0.7766061267690753,-0.004689280811764562,,360,360
BINANCE,20250902,BINANCE->COINBASE,1,0.15406102974999464,0.257455552755367,0.10339452300537239,,359,359
BINANCE,20250902,BINANCE->COINBASE,2,-0.03362261450410975,0.05620250963232321,0.08982512413643295,,358,358
BINANCE,20250902,BINANCE->BYBITSPOT,0,0.05095227894184087,-0.11468290296684985,-0.16563518190869073,,336,338
BINANCE,20250902,BINANCE->BYBITSPOT,1,0.0036060919697806625,-0.06266445003893673,-0.06627054200871739,,335,337
BINANCE,20250902,BINANCE->BYBITSPOT,2,0.04365322745499638,-0.07652208734979629,-0.12017531480479267,,334,336
BINANCE,20250902,BINANCE->BITGET,0,0.9149261719409583,0.4116061864260787,-0.5033199855148796,,360,358
BINANCE,20250902,BINANCE->BITGET,1,0.13149901166202574,0.605160420284981,0.47366140862295525,,359,357
BINANCE,20250902,BINANCE->BITGET,2,-0.01939690055010767,0.23715163123753047,0.25654853178763815,,358,356
BINANCE,20250902,COINBASE->BYBITSPOT,0,0.0026851909167889126,-0.13666375322028151,-0.13934894413707044,,336,338
BINANCE,20250902,COINBASE->BYBITSPOT,1,0.029429912739265717,-0.03326760389141637,-0.06269751663068208,,335,337
BINANCE,20250902,COINBASE->BYBITSPOT,2,0.03561036163340371,-0.0686162611961017,-0.10422662282950541,,334,336
BINANCE,20250902,COINBASE->BITGET,0,1.0144186883773325,0.48769557709057354,-0.526723111286759,,360,358
BINANCE,20250902,COINBASE->BITGET,1,0.07842785825386367,0.6362307343638673,0.5578028761100037,,359,357
BINANCE,20250902,COINBASE->BITGET,2,-0.053325462213661357,0.2133805435782337,0.2667060057918951,,358,356
BINANCE,20250902,BYBITSPOT->BITGET,0,0.044478862303649114,-0.06888542437176592,-0.11336428667541504,,313,320
BINANCE,20250902,BYBITSPOT->BITGET,1,-0.0044021558478951756,-0.17899184341160027,-0.17458968756370508,,312,319
BINANCE,20250902,BYBITSPOT->BITGET,2,-0.042313100639048896,-0.06806400562222858,-0.02575090498317969,,311,318
COINBASE,20250902,BINANCE->COINBASE,0,0.7812954075808398,0.7766061267690753,-0.004689280811764562,,360,360
COINBASE,20250902,BINANCE->COINBASE,1,0.15406102974999464,0.257455552755367,0.10339452300537239,,359,359
COINBASE,20250902,BINANCE->COINBASE,2,-0.03362261450410975,0.05620250963232321,0.08982512413643295,,358,358
COINBASE,20250902,BINANCE->BYBITSPOT,0,0.05095227894184087,-0.11468290296684985,-0.16563518190869073,,336,338
COINBASE,20250902,BINANCE->BYBITSPOT,1,0.0036060919697806625,-0.06266445003893673,-0.06627054200871739,,335,337
COINBASE,20250902,BINANCE->BYBITSPOT,2,0.04365322745499638,-0.07652208734979629,-0.12017531480479267,,334,336
COINBASE,20250902,BINANCE->BITGET,0,0.9149261719409583,0.4116061864260787,-0.5033199855148796,,360,358
COINBASE,20250902,BINANCE->BITGET,1,0.13149901166202574,0.605160420284981,0.47366140862295525,,359,357
COINBASE,20250902,BINANCE->BITGET,2,-0.01939690055010767,0.23715163123753047,0.25654853178763815,,358,356
COINBASE,20250902,COINBASE->BYBITSPOT,0,0.0026851909167889126,-0.13666375322028151,-0.13934894413707044,,336,338
COINBASE,20250902,COINBASE->BYBITSPOT,1,0.029429912739265717,-0.03326760389141637,-0.06269751663068208,,335,337
COINBASE,20250902,COINBASE->BYBITSPOT,2,0.03561036163340371,-0.0686162611961017,-0.10422662282950541,,334,336
COINBASE,20250902,COINBASE->BITGET,0,1.0144186883773325,0.48769557709057354,-0.526723111286759,,360,358
COINBASE,20250902,COINBASE->BITGET,1,0.07842785825386367,0.6362307343638673,0.5578028761100037,,359,357
COINBASE,20250902,COINBASE->BITGET,2,-0.053325462213661357,0.2133805435782337,0.2667060057918951,,358,356
COINBASE,20250902,BYBITSPOT->BITGET,0,0.044478862303649114,-0.06888542437176592,-0.11336428667541504,,313,320
COINBASE,20250902,BYBITSPOT->BITGET,1,-0.0044021558478951756,-0.17899184341160027,-0.17458968756370508,,312,319
COINBASE,20250902,BYBITSPOT->BITGET,2,-0.042313100639048896,-0.06806400562222858,-0.02575090498317969,,311,318
BYBITSPOT,20250902,BINANCE->COINBASE,0,0.7812954075808398,0.7766061267690753,-0.004689280811764562,,360,360
BYBITSPOT,20250902,BINANCE->COINBASE,1,0.15406102974999464,0.257455552755367,0.10339452300537239,,359,359
BYBITSPOT,20250902,BINANCE->COINBASE,2,-0.03362261450410975,0.05620250963232321,0.08982512413643295,,358,358
BYBITSPOT,20250902,BINANCE->BYBITSPOT,0,0.05095227894184087,-0.11468290296684985,-0.16563518190869073,,336,338
BYBITSPOT,20250902,BINANCE->BYBITSPOT,1,0.0036060919697806625,-0.06266445003893673,-0.06627054200871739,,335,337
BYBITSPOT,20250902,BINANCE->BYBITSPOT,2,0.04365322745499638,-0.07652208734979629,-0.12017531480479267,,334,336
BYBITSPOT,20250902,BINANCE->BITGET,0,0.9149261719409583,0.4116061864260787,-0.5033199855148796,,360,358
BYBITSPOT,20250902,BINANCE->BITGET,1,0.13149901166202574,0.605160420284981,0.47366140862295525,,359,357
BYBITSPOT,20250902,BINANCE->BITGET,2,-0.01939690055010767,0.23715163123753047,0.25654853178763815,,358,356
BYBITSPOT,20250902,COINBASE->BYBITSPOT,0,0.0026851909167889126,-0.13666375322028151,-0.13934894413707044,,336,338
BYBITSPOT,20250902,COINBASE->BYBITSPOT,1,0.029429912739265717,-0.03326760389141637,-0.06269751663068208,,335,337
BYBITSPOT,20250902,COINBASE->BYBITSPOT,2,0.03561036163340371,-0.0686162611961017,-0.10422662282950541,,334,336
BYBITSPOT,20250902,COINBASE->BITGET,0,1.0144186883773325,0.48769557709057354,-0.526723111286759,,360,358
BYBITSPOT,20250902,COINBASE->BITGET,1,0.07842785825386367,0.6362307343638673,0.5578028761100037,,359,357
BYBITSPOT,20250902,COINBASE->BITGET,2,-0.053325462213661357,0.2133805435782337,0.2667060057918951,,358,356
BYBITSPOT,20250902,BYBITSPOT->BITGET,0,0.044478862303649114,-0.06888542437176592,-0.11336428667541504,,313,320
BYBITSPOT,20250902,BYBITSPOT->BITGET,1,-0.0044021558478951756,-0.17899184341160027,-0.17458968756370508,,312,319
BYBITSPOT,20250902,BYBITSPOT->BITGET,2,-0.042313100639048896,-0.06806400562222858,-0.02575090498317969,,311,318
BITGET,20250902,BINANCE->COINBASE,0,0.7812954075808398,0.7766061267690753,-0.004689280811764562,,360,360
BITGET,20250902,BINANCE->COINBASE,1,0.15406102974999464,0.257455552755367,0.10339452300537239,,359,359
BITGET,20250902,BINANCE->COINBASE,2,-0.03362261450410975,0.05620250963232321,0.08982512413643295,,358,358
BITGET,20250902,BINANCE->BYBITSPOT,0,0.05095227894184087,-0.11468290296684985,-0.16563518190869073,,336,338
BITGET,20250902,BINANCE->BYBITSPOT,1,0.0036060919697806625,-0.06266445003893673,-0.06627054200871739,,335,337
BITGET,20250902,BINANCE->BYBITSPOT,2,0.04365322745499638,-0.07652208734979629,-0.12017531480479267,,334,336
BITGET,20250902,BINANCE->BITGET,0,0.9149261719409583,0.4116061864260787,-0.5033199855148796,,360,358
BITGET,20250902,BINANCE->BITGET,1,0.13149901166202574,0.605160420284981,0.47366140862295525,,359,357
BITGET,20250902,BINANCE->BITGET,2,-0.01939690055010767,0.23715163123753047,0.25654853178763815,,358,356
BITGET,20250902,COINBASE->BYBITSPOT,0,0.0026851909167889126,-0.13666375322028151,-0.13934894413707044,,336,338
BITGET,20250902,COINBASE->BYBITSPOT,1,0.029429912739265717,-0.03326760389141637,-0.06269751663068208,,335,337
BITGET,20250902,COINBASE->BYBITSPOT,2,0.03561036163340371,-0.0686162611961017,-0.10422662282950541,,334,336
BITGET,20250902,COINBASE->BITGET,0,1.0144186883773325,0.48769557709057354,-0.526723111286759,,360,358
BITGET,20250902,COINBASE->BITGET,1,0.07842785825386367,0.6362307343638673,0.5578028761100037,,359,357
BITGET,20250902,COINBASE->BITGET,2,-0.053325462213661357,0.2133805435782337,0.2667060057918951,,358,356
BITGET,20250902,BYBITSPOT->BITGET,0,0.044478862303649114,-0.06888542437176592,-0.11336428667541504,,313,320
BITGET,20250902,BYBITSPOT->BITGET,1,-0.0044021558478951756,-0.17899184341160027,-0.17458968756370508,,312,319
BITGET,20250902,BYBITSPOT->BITGET,2,-0.042313100639048896,-0.06806400562222858,-0.02575090498317969,,311,318
BINANCE,20250903,BINANCE->COINBASE,0,0.8383010027280724,0.8070115515201632,-0.03128945120790916,,360,360
BINANCE,20250903,BINANCE->COINBASE,1,0.2194038285644779,0.1970968703461629,-0.022306958218314993,,359,359
BINANCE,20250903,BINANCE->COINBASE,2,0.025459432931387804,0.1498492794429454,0.1243898465115576,,358,358
BINANCE,20250903,BINANCE->BYBITSPOT,0,-0.025256199153659346,-0.11074637842156418,-0.08549017926790484,,347,347
BINANCE,20250903,BINANCE->BYBITSPOT,1,0.06836180095238267,0.04688494141853727,-0.021476859533845406,,346,346
BINANCE,20250903,BINANCE->BYBITSPOT,2,0.0407861955514584,-0.012103431813558248,-0.05288962736501664,,345,345
BINANCE,20250903,BINANCE->BITGET,0,-0.0015381234327911612,0.05244842249410733,0.05398654592689849,,356,360
BINANCE,20250903,BINANCE->BITGET,1,-0.047068890186564516,0.007044631832692117,0.054113522019256635,,355,359
BINANCE,20250903,BINANCE->BITGET,2,0.17031600921706888,0.06569532459591479,-0.10462068462115409,,354,358
BINANCE,20250903,COINBASE->BYBITSPOT,0,0.0001353863713184299,-0.09817042701266754,-0.09830581338398597,,347,347
BINANCE,20250903,COINBASE->BYBITSPOT,1,0.039689625684076524,0.056968773541501136,0.017279147857424612,,346,346
BINANCE,20250903,COINBASE->BYBITSPOT,2,0.05084377025648141,0.00035384723496144116,-0.050489923021519965,,345,345
BINANCE,20250903,COINBASE->BITGET,0,-0.017799377235655788,0.03563308887514997,0.05343246611080575,,356,360
BINANCE,20250903,COINBASE->BITGET,1,-0.03159684414099629,0.03677530719548765,0.06837215133648394,,355,359
BINANCE,20250903,COINBASE->BITGET,2,0.2617604405386704,0.022783083298467694,-0.23897735724020272,,354,358
BINANCE,20250903,BYBITSPOT->BITGET,0,0.034087077766141026,-0.0646274955310817,-0.09871457329722272,,331,333
BINANCE,20250903,BYBITSPOT->BITGET,1,0.09741448687091042,-0.10836892367297889,-0.20578341054388932,,330,332
BINANCE,20250903,BYBITSPOT->BITGET,2,0.06805663848993061,0.044122757001749474,-0.02393388148818114,,329,331
COINBASE,20250903,BINANCE->COINBASE,0,0.8383010027280724,0.8070115515201632,-0.03128945120790916,,360,360
COINBASE,20250903,BINANCE->COINBASE,1,0.2194038285644779,0.1970968703461629,-0.022306958218314993,,359,359
COINBASE,20250903,BINANCE->COINBASE,2,0.025459432931387804,0.1498492794429454,0.1243898465115576,,358,358
COINBASE,20250903,BINANCE->BYBITSPOT,0,-0.025256199153659346,-0.11074637842156418,-0.08549017926790484,,347,347
COINBASE,20250903,BINANCE->BYBITSPOT,1,0.06836180095238267,0.04688494141853727,-0.021476859533845406,,346,346
COINBASE,20250903,BINANCE->BYBITSPOT,2,0.0407861955514584,-0.012103431813558248,-0.05288962736501664,,345,345
COINBASE,20250903,BINANCE->BITGET,0,-0.0015381234327911612,0.05244842249410733,0.05398654592689849,,356,360
COINBASE,20250903,BINANCE->BITGET,1,-0.047068890186564516,0.007044631832692117,0.054113522019256635,,355,359
COINBASE,20250903,BINANCE->BITGET,2,0.17031600921706888,0.06569532459591479,-0.10462068462115409,,354,358
COINBASE,20250903,COINBASE->BYBITSPOT,0,0.0001353863713184299,-0.09817042701266754,-0.09830581338398597,,347,347
COINBASE,20250903,COINBASE->BYBITSPOT,1,0.039689625684076524,0.056968773541501136,0.017279147857424612,,346,346
COINBASE,20250903,COINBASE->BYBITSPOT,2,0.05084377025648141,0.00035384723496144116,-0.050489923021519965,,345,345
COINBASE,20250903,COINBASE->BITGET,0,-0.017799377235655788,0.03563308887514997,0.05343246611080575,,356,360
COINBASE,20250903,COINBASE->BITGET,1,-0.03159684414099629,0.03677530719548765,0.06837215133648394,,355,359
COINBASE,20250903,COINBASE->BITGET,2,0.2617604405386704,0.022783083298467694,-0.23897735724020272,,354,358
COINBASE,20250903,BYBITSPOT->BITGET,0,0.034087077766141026,-0.0646274955310817,-0.09871457329722272,,331,333
COINBASE,20250903,BYBITSPOT->BITGET,1,0.09741448687091042,-0.10836892367297889,-0.20578341054388932,,330,332
COINBASE,20250903,BYBITSPOT->BITGET,2,0.06805663848993061,0.044122757001749474,-0.02393388148818114,,329,331
BYBITSPOT,20250903,BINANCE->COINBASE,0,0.8383010027280724,0.8070115515201632,-0.03128945120790916,,360,360
BYBITSPOT,20250903,BINANCE->COINBASE,1,0.2194038285644779,0.1970968703461629,-0.022306958218314993,,359,359
BYBITSPOT,20250903,BINANCE->COINBASE,2,0.025459432931387804,0.1498492794429454,0.1243898465115576,,358,358
BYBITSPOT,20250903,BINANCE->BYBITSPOT,0,-0.025256199153659346,-0.11074637842156418,-0.08549017926790484,,347,347
BYBITSPOT,20250903,BINANCE->BYBITSPOT,1,0.06836180095238267,0.04688494141853727,-0.021476859533845406,,346,346
BYBITSPOT,20250903,BINANCE->BYBITSPOT,2,0.0407861955514584,-0.012103431813558248,-0.05288962736501664,,345,345
BYBITSPOT,20250903,BINANCE->BITGET,0,-0.0015381234327911612,0.05244842249410733,0.05398654592689849,,356,360
BYBITSPOT,20250903,BINANCE->BITGET,1,-0.047068890186564516,0.007044631832692117,0.054113522019256635,,355,359
BYBITSPOT,20250903,BINANCE->BITGET,2,0.17031600921706888,0.06569532459591479,-0.10462068462115409,,354,358
BYBITSPOT,20250903,COINBASE->BYBITSPOT,0,0.0001353863713184299,-0.09817042701266754,-0.09830581338398597,,347,347
BYBITSPOT,20250903,COINBASE->BYBITSPOT,1,0.039689625684076524,0.056968773541501136,0.017279147857424612,,346,346
BYBITSPOT,20250903,COINBASE->BYBITSPOT,2,0.05084377025648141,0.00035384723496144116,-0.050489923021519965,,345,345
BYBITSPOT,20250903,COINBASE->BITGET,0,-0.017799377235655788,0.03563308887514997,0.05343246611080575,,356,360
BYBITSPOT,20250903,COINBASE->BITGET,1,-0.03159684414099629,0.03677530719548765,0.06837215133648394,,355,359
BYBITSPOT,20250903,COINBASE->BITGET,2,0.2617604405386704,0.022783083298467694,-0.23897735724020272,,354,358
BYBITSPOT,20250903,BYBITSPOT->BITGET,0,0.034087077766141026,-0.0646274955310817,-0.09871457329722272,,331,333
BYBITSPOT,20250903,BYBITSPOT->BITGET,1,0.09741448687091042,-0.10836892367297889,-0.20578341054388932,,330,332
BYBITSPOT,20250903,BYBITSPOT->BITGET,2,0.06805663848993061,0.044122757001749474,-0.02393388148818114,,329,331
BITGET,20250903,BINANCE->COINBASE,0,0.8383010027280724,0.8070115515201632,-0.03128945120790916,,360,360
BITGET,20250903,BINANCE->COINBASE,1,0.2194038285644779,0.1970968703461629,-0.022306958218314993,,359,359
BITGET,20250903,BINANCE->COINBASE,2,0.025459432931387804,0.1498492794429454,0.1243898465115576,,358,358
BITGET,20250903,BINANCE->BYBITSPOT,0,-0.025256199153659346,-0.11074637842156418,-0.08549017926790484,,347,347
BITGET,20250903,BINANCE->BYBITSPOT,1,0.06836180095238267,0.04688494141853727,-0.021476859533845406,,346,346
BITGET,20250903,BINANCE->BYBITSPOT,2,0.0407861955514584,-0.012103431813558248,-0.05288962736501664,,345,345
BITGET,20250903,BINANCE->BITGET,0,-0.0015381234327911612,0.05244842249410733,0.05398654592689849,,356,360
BITGET,20250903,BINANCE->BITGET,1,-0.047068890186564516,0.007044631832692117,0.054113522019256635,,355,359
BITGET,20250903,BINANCE->BITGET,2,0.17031600921706888,0.06569532459591479,-0.10462068462115409,,354,358
BITGET,20250903,COINBASE->BYBITSPOT,0,0.0001353863713184299,-0.09817042701266754,-0.09830581338398597,,347,347
BITGET,20250903,COINBASE->BYBITSPOT,1,0.039689625684076524,0.056968773541501136,0.017279147857424612,,346,346
BITGET,20250903,COINBASE->BYBITSPOT,2,0.05084377025648141,0.00035384723496144116,-0.050489923021519965,,345,345
BITGET,20250903,COINBASE->BITGET,0,-0.017799377235655788,0.03563308887514997,0.05343246611080575,,356,360
BITGET,20250903,COINBASE->BITGET,1,-0.03159684414099629,0.03677530719548765,0.06837215133648394,,355,359
BITGET,20250903,COINBASE->BITGET,2,0.2617604405386704,0.022783083298467694,-0.23897735724020272,,354,358
BITGET,20250903,BYBITSPOT->BITGET,0,0.034087077766141026,-0.0646274955310817,-0.09871457329722272,,331,333
BITGET,20250903,BYBITSPOT->BITGET,1,0.09741448687091042,-0.10836892367297889,-0.20578341054388932,,330,332
BITGET,20250903,BYBITSPOT->BITGET,2,0.06805663848993061,0.044122757001749474,-0.02393388148818114,,329,331
BINANCE,20250904,BINANCE->COINBASE,0,0.6267065058089235,0.6519244929128516,0.025217987103928086,,360,360
BINANCE,20250904,BINANCE->COINBASE,1,0.20751050474859292,0.3187226542414998,0.11121214949290689,,359,359
BINANCE,20250904,BINANCE->COINBASE,2,0.22421553334496463,0.07449200221230949,-0.14972353113265513,,358,358
BINANCE,20250904,BINANCE->BYBITSPOT,0,0.03699916399234646,0.05766205322033715,0.020662889227990693,,328,334
BINANCE,20250904,BINANCE->BYBITSPOT,1,-0.10110009422432403,0.08424197801544227,0.1853420722397663,,327,333
BINANCE,20250904,BINANCE->BYBITSPOT,2,0.000882050644720252,0.07810896558079101,0.07722691493607076,,326,332
BINANCE,20250904,BINANCE->BITGET,0,0.04118666040337945,0.0011560346395484123,-0.04003062576383103,,309,311
BINANCE,20250904,BINANCE->BITGET,1,-0.011331923081730224,0.010793250927731595,0.022125174009461818,,308,310
BINANCE,20250904,BINANCE->BITGET,2,0.01128777675040992,0.0853584324376613,0.07407065568725138,,307,309
BINANCE,20250904,COINBASE->BYBITSPOT,0,0.03515687415630071,0.10130305085116191,0.0661461766948612,,328,335
BINANCE,20250904,COINBASE->BYBITSPOT,1,-0.10987625906685149,0.06167618152880049,0.17155244059565197,,327,334
BINANCE,20250904,COINBASE->BYBITSPOT,2,-0.00788954142009439,0.0799255957860322,0.08781513720612659,,326,333
BINANCE,20250904,COINBASE->BITGET,0,0.014480105105901126,0.038537170506639386,0.024057065400738258,,309,312
BINANCE,20250904,COINBASE->BITGET,1,-0.033088750027486916,0.007779401863621105,0.04086815189110802,,308,311
BINANCE,20250904,COINBASE->BITGET,2,-0.015264198342660696,0.09836901517663586,0.11363321351929656,,307,310
BINANCE,20250904,BYBITSPOT->BITGET,0,0.07897000859134293,-0.01899182535728312,-0.09796183394862605,,263,273
BINANCE,20250904,BYBITSPOT->BITGET,1,-0.014669090157955948,0.023333379866655655,0.0380024700246116,,262,272
BINANCE,20250904,BYBITSPOT->BITGET,2,-0.02572975944067134,-0.008802105742569125,0.016927653698102216,,261,271
COINBASE,20250904,BINANCE->COINBASE,0,0.6267065058089235,0.6519244929128516,0.025217987103928086,,360,360
COINBASE,20250904,BINANCE->COINBASE,1,0.20751050474859292,0.3187226542414998,0.11121214949290689,,359,359
