event_id,venue,date,ts_beacon,round_level,trades_in_burst,rev_bps_3m,n_pre,n_post,low_n,note
53,BINANCE,20250903,2025-09-03 09:00:00,102000,10,10.786541066327517,133,107,False,VALIDATED
54,BINANCE,20250903,2025-09-03 07:00:00,100000,19,-3.028574615016692,178,116,False,VALIDATED
54,BINANCE,20250903,2025-09-03 22:00:00,101000,15,2.299860714695582,164,186,False,VALIDATED
55,BINANCE,20250903,2025-09-03 12:00:00,100000,10,-3.388576848760531,186,142,False,VALIDATED
56,BINANCE,20250903,2025-09-03 18:00:00,100000,5,-4.0124636660582365,199,110,False,VALIDATED
57,COINBASE,20250903,2025-09-03 18:00:00,100000,9,6.49405662423526,127,150,False,VALIDATED
57,COINBASE,20250903,2025-09-03 10:00:00,101000,7,6.2759924222662615,107,163,False,VALIDATED
57,COINBASE,20250903,2025-09-03 09:00:00,102000,8,0.942080041487142,195,191,False,VALIDATED
58,COINBASE,20250903,2025-09-03 07:00:00,100000,10,-7.109053333709219,149,166,False,VALIDATED
58,COINBASE,20250903,2025-09-03 16:00:00,101000,6,7.506668259777434,167,177,False,VALIDATED
60,COINBASE,20250903,2025-09-03 22:00:00,100000,12,-3.2175911519007148,101,112,False,VALIDATED
60,COINBASE,20250903,2025-09-03 20:00:00,101000,18,4.639200640406186,131,131,False,VALIDATED
60,COINBASE,20250903,2025-09-03 01:00:00,102000,13,-4.145187291766039,158,177,False,VALIDATED
61,COINBASE,20250903,2025-09-03 17:00:00,100000,14,1.0085027995827351,131,150,False,VALIDATED
62,BYBITSPOT,20250903,2025-09-03 23:00:00,100000,5,-6.062286394246138,138,111,False,VALIDATED
62,BYBITSPOT,20250903,2025-09-03 08:00:00,101000,17,5.677425081813851,117,120,False,VALIDATED
63,BYBITSPOT,20250903,2025-09-03 20:00:00,100000,10,1.8624785489499995,122,195,False,VALIDATED
63,BYBITSPOT,20250903,2025-09-03 10:00:00,101000,13,7.995611675746877,188,121,False,VALIDATED
64,BYBITSPOT,20250903,2025-09-03 12:00:00,100000,4,1.9984397587632081,126,149,False,VALIDATED
66,BYBITSPOT,20250903,2025-09-03 23:00:00,100000,14,-3.256784468959145,176,121,False,VALIDATED
67,BITGET,20250903,2025-09-03 00:00:00,100000,5,2.827548228157721,128,129,False,VALIDATED
68,BITGET,20250903,2025-09-03 14:00:00,100000,7,-8.803813795779089,107,157,False,VALIDATED
68,BITGET,20250903,2025-09-03 15:00:00,101000,10,4.1422725784755325,164,103,False,VALIDATED
70,BITGET,20250903,2025-09-03 09:00:00,100000,4,-4.633565512460907,188,109,False,VALIDATED
71,BITGET,20250903,2025-09-03 13:00:00,100000,9,7.722630018390468,112,108,False,VALIDATED
71,BITGET,20250903,2025-09-03 19:00:00,101000,6,4.725968635067969,185,189,False,VALIDATED
72,BINANCE,20250904,2025-09-04 11:00:00,100000,19,3.8691637182113974,115,194,False,VALIDATED
72,BINANCE,20250904,2025-09-04 22:00:00,101000,8,5.610875144008426,155,182,False,VALIDATED
73,BINANCE,20250904,2025-09-04 03:00:00,100000,17,8.634819256167026,123,198,False,VALIDATED
73,BINANCE,20250904,2025-09-04 04:00:00,101000,8,-1.9981809280730118,184,153,False,VALIDATED
73,BINANCE,20250904,2025-09-04 07:00:00,102000,9,5.832742954885029,119,116,False,VALIDATED
73,BINANCE,20250904,2025-09-04 22:00:00,103000,9,-2.86498902495473,103,192,False,VALIDATED
74,BINANCE,20250904,2025-09-04 23:00:00,100000,7,7.710549762839378,103,123,False,VALIDATED
75,BINANCE,20250904,2025-09-04 17:00:00,100000,19,10.030464440795615,162,182,False,VALIDATED
77,BINANCE,20250904,2025-09-04 05:00:00,100000,6,-13.86781431456724,199,193,False,VALIDATED
78,BINANCE,20250904,2025-09-04 22:00:00,100000,3,4.004683198147311,117,162,False,VALIDATED
80,COINBASE,20250904,2025-09-04 14:00:00,100000,13,-4.535631731276253,132,116,False,VALIDATED
81,COINBASE,20250904,2025-09-04 19:00:00,100000,18,5.283276418863961,146,190,False,VALIDATED
82,COINBASE,20250904,2025-09-04 14:00:00,100000,16,4.250469946584044,189,115,False,VALIDATED
84,COINBASE,20250904,2025-09-04 09:00:00,100000,5,4.378579312004901,176,193,False,VALIDATED
85,COINBASE,20250904,2025-09-04 12:00:00,100000,8,-9.479824206536446,118,141,False,VALIDATED
85,COINBASE,20250904,2025-09-04 02:00:00,101000,16,0.8514918108119709,125,168,False,VALIDATED
86,BYBITSPOT,20250904,2025-09-04 04:00:00,100000,19,3.4692788150396074,199,169,False,VALIDATED
86,BYBITSPOT,20250904,2025-09-04 03:00:00,101000,9,-0.5141776011219973,138,134,False,VALIDATED
87,BYBITSPOT,20250904,2025-09-04 03:00:00,100000,8,-1.371141785272655,183,123,False,VALIDATED
88,BYBITSPOT,20250904,2025-09-04 20:00:00,100000,14,-4.996563788250687,129,185,False,VALIDATED
91,BYBITSPOT,20250904,2025-09-04 23:00:00,100000,12,4.567923131166247,188,176,False,VALIDATED
91,BYBITSPOT,20250904,2025-09-04 05:00:00,101000,14,-4.015894753401724,172,144,False,VALIDATED
91,BYBITSPOT,20250904,2025-09-04 03:00:00,102000,13,0.5082214384475504,132,190,False,VALIDATED
92,BYBITSPOT,20250904,2025-09-04 14:00:00,100000,13,-5.655131957459715,119,187,False,VALIDATED
93,BITGET,20250904,2025-09-04 06:00:00,100000,12,2.4367990159519186,113,156,False,VALIDATED
94,BITGET,20250904,2025-09-04 20:00:00,100000,7,2.7768967381660943,102,186,False,VALIDATED
96,BITGET,20250904,2025-09-04 18:00:00,100000,14,-4.042099122616935,149,167,False,VALIDATED
97,BITGET,20250904,2025-09-04 06:00:00,100000,3,-1.5763242212077313,180,123,False,VALIDATED
99,BITGET,20250904,2025-09-04 10:00:00,100000,11,1.1965423341017285,197,169,False,VALIDATED
99,BITGET,20250904,2025-09-04 13:00:00,101000,8,7.146621313564273,197,164,False,VALIDATED
100,BINANCE,20250905,2025-09-05 04:00:00,100000,4,-5.621462971029154,173,197,False,VALIDATED
101,BINANCE,20250905,2025-09-05 18:00:00,100000,9,3.250951903653772,185,175,False,VALIDATED
101,BINANCE,20250905,2025-09-05 23:00:00,101000,17,6.986132112793814,109,198,False,VALIDATED
103,BINANCE,20250905,2025-09-05 06:00:00,100000,6,0.2850656818552562,185,114,False,VALIDATED
103,BINANCE,20250905,2025-09-05 23:00:00,101000,10,-1.8023670210229796,139,157,False,VALIDATED
104,BINANCE,20250905,2025-09-05 16:00:00,100000,4,2.5570775046497687,124,102,False,VALIDATED
104,BINANCE,20250905,2025-09-05 07:00:00,101000,14,-0.9023995679531283,105,138,False,VALIDATED
105,BINANCE,20250905,2025-09-05 17:00:00,100000,13,15.965537839224304,118,168,False,VALIDATED
106,BINANCE,20250905,2025-09-05 23:00:00,100000,14,-9.153842241974331,191,140,False,VALIDATED
106,BINANCE,20250905,2025-09-05 03:00:00,101000,7,1.0032590197784352,184,171,False,VALIDATED
106,BINANCE,20250905,2025-09-05 22:00:00,102000,11,3.826951070852169,181,141,False,VALIDATED
107,COINBASE,20250905,2025-09-05 05:00:00,100000,14,-0.959107291033196,101,106,False,VALIDATED
108,COINBASE,20250905,2025-09-05 12:00:00,100000,5,12.718339476507639,107,131,False,VALIDATED
109,COINBASE,20250905,2025-09-05 10:00:00,100000,7,0.9140345460266831,103,193,False,VALIDATED
110,COINBASE,20250905,2025-09-05 21:00:00,100000,11,0.12109728336379035,115,100,False,VALIDATED
111,COINBASE,20250905,2025-09-05 22:00:00,100000,15,7.061102777077146,133,103,False,VALIDATED
112,COINBASE,20250905,2025-09-05 22:00:00,100000,7,5.9369302578237555,124,119,False,VALIDATED
112,COINBASE,20250905,2025-09-05 01:00:00,101000,7,12.94781821009307,198,160,False,VALIDATED
112,COINBASE,20250905,2025-09-05 08:00:00,102000,8,9.039380793995951,143,110,False,VALIDATED
112,COINBASE,20250905,2025-09-05 01:00:00,103000,17,1.7539258787740464,172,184,False,VALIDATED
114,BYBITSPOT,20250905,2025-09-05 11:00:00,100000,18,4.203100132522765,161,132,False,VALIDATED
114,BYBITSPOT,20250905,2025-09-05 20:00:00,101000,5,2.7336678410068966,151,133,False,VALIDATED
115,BYBITSPOT,20250905,2025-09-05 14:00:00,100000,13,6.085792604127482,121,116,False,VALIDATED
116,BYBITSPOT,20250905,2025-09-05 10:00:00,100000,17,7.606580259612256,190,134,False,VALIDATED
116,BYBITSPOT,20250905,2025-09-05 00:00:00,101000,18,-1.5878659941186894,127,146,False,VALIDATED
118,BYBITSPOT,20250905,2025-09-05 00:00:00,100000,10,-3.377307224278891,186,162,False,VALIDATED
118,BYBITSPOT,20250905,2025-09-05 02:00:00,101000,6,-1.6798975478647247,114,162,False,VALIDATED
120,BYBITSPOT,20250905,2025-09-05 20:00:00,100000,16,2.1636429956509216,113,199,False,VALIDATED
120,BYBITSPOT,20250905,2025-09-05 11:00:00,101000,19,3.618052936144375,176,178,False,VALIDATED
122,BITGET,20250905,2025-09-05 22:00:00,100000,4,3.3373039081965605,145,137,False,VALIDATED
122,BITGET,20250905,2025-09-05 13:00:00,101000,6,-4.75925237337312,118,129,False,VALIDATED
122,BITGET,20250905,2025-09-05 13:00:00,102000,19,-1.518083526538791,124,139,False,VALIDATED
123,BITGET,20250905,2025-09-05 05:00:00,100000,18,2.7043461124067325,127,183,False,VALIDATED
123,BITGET,20250905,2025-09-05 12:00:00,101000,9,4.423755273816569,177,162,False,VALIDATED
124,BITGET,20250905,2025-09-05 22:00:00,100000,17,-7.358457213353441,152,160,False,VALIDATED
128,BINANCE,20250906,2025-09-06 19:00:00,100000,16,-1.3108685143192043,174,152,False,VALIDATED
131,BINANCE,20250906,2025-09-06 03:00:00,100000,6,-5.990520316321089,154,115,False,VALIDATED
131,BINANCE,20250906,2025-09-06 16:00:00,101000,18,-6.365798846212664,129,111,False,VALIDATED
132,COINBASE,20250906,2025-09-06 13:00:00,100000,7,-4.040709272036345,143,132,False,VALIDATED
133,COINBASE,20250906,2025-09-06 08:00:00,100000,11,-3.5773584856573586,167,134,False,VALIDATED
133,COINBASE,20250906,2025-09-06 16:00:00,101000,4,0.947908082993717,144,186,False,VALIDATED
134,COINBASE,20250906,2025-09-06 11:00:00,100000,14,5.005230462835706,145,146,False,VALIDATED
136,BYBITSPOT,20250906,2025-09-06 19:00:00,100000,10,-0.38766907596996736,128,150,False,VALIDATED
138,BYBITSPOT,20250906,2025-09-06 03:00:00,100000,14,3.1727014402861236,144,166,False,VALIDATED
139,BYBITSPOT,20250906,2025-09-06 01:00:00,100000,4,1.7660369725392155,171,186,False,VALIDATED
140,BITGET,20250906,2025-09-06 21:00:00,100000,19,-0.09892657607482801,160,111,False,VALIDATED
141,BITGET,20250906,2025-09-06 07:00:00,100000,12,-7.031587318359169,134,147,False,VALIDATED
144,BINANCE,20250907,2025-09-07 05:00:00,100000,19,-0.41552786314347384,145,161,False,VALIDATED
145,BINANCE,20250907,2025-09-07 19:00:00,100000,3,5.422397915365353,148,163,False,VALIDATED
145,BINANCE,20250907,2025-09-07 09:00:00,101000,13,-2.887650467537769,153,108,False,VALIDATED
146,BINANCE,20250907,2025-09-07 16:00:00,100000,11,0.6606836066799048,158,138,False,VALIDATED
146,BINANCE,20250907,2025-09-07 22:00:00,101000,11,6.653085177547946,138,112,False,VALIDATED
147,BINANCE,20250907,2025-09-07 13:00:00,100000,13,-1.9955592610137496,100,139,False,VALIDATED
148,COINBASE,20250907,2025-09-07 11:00:00,100000,10,-3.2644838620578103,171,160,False,VALIDATED
149,COINBASE,20250907,2025-09-07 11:00:00,100000,18,5.259752029141329,191,168,False,VALIDATED
149,COINBASE,20250907,2025-09-07 07:00:00,101000,16,-4.894776230536351,186,129,False,VALIDATED
152,BYBITSPOT,20250907,2025-09-07 17:00:00,100000,4,5.381859976205901,135,181,False,VALIDATED
154,BYBITSPOT,20250907,2025-09-07 07:00:00,100000,19,2.961759605540867,196,175,False,VALIDATED
156,BITGET,20250907,2025-09-07 06:00:00,100000,4,6.13202571935192,165,150,False,VALIDATED
157,BITGET,20250907,2025-09-07 09:00:00,100000,16,5.785481927319793,181,150,False,VALIDATED
158,BITGET,20250907,2025-09-07 06:00:00,100000,5,-3.0621868732021893,101,192,False,VALIDATED
158,BITGET,20250907,2025-09-07 05:00:00,101000,5,1.8075176260305081,115,193,False,VALIDATED
158,BITGET,20250907,2025-09-07 07:00:00,102000,4,-0.166149953222304,134,164,False,VALIDATED
